OBJECTID_1 *,Shape *,tmk_txt,OSDS Present,Newly Developed (2005 - 2021),500-ft Sewer Buffer,500-ft Coastline Buffer,WWTP 1-Mi Buffer,CEJST LIDAC,Sea Grant Priority,Island,AOI,Shape_Length,Shape_Area
100,Polygon,381002044,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002039,0
101,Polygon,381022100,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001034,0
103,Polygon,379011014,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001281,0
107,Polygon,379010054,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001399,0
108,Polygon,379010055,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001464,0
113,Polygon,379010009,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.000904,0
115,Polygon,379010011,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.006473,0.000002
118,Polygon,379011017,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.006447,0.000001
122,Polygon,379007065,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001773,0
123,Polygon,379007066,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.00299,0.000001
125,Polygon,379011028,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.004733,0.000001
126,Polygon,379011029,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003008,0.000001
127,Polygon,379011030,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002911,0
129,Polygon,379011033,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.004865,0.000001
130,Polygon,381025026,Yes,Yes,No,No,Yes,No,Low,HAW,Kealakehe,0.001602,0
132,Polygon,381002059,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.004889,0.000001
133,Polygon,381002060,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001841,0
134,Polygon,381002061,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001553,0
143,Polygon,381022065,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001043,0
144,Polygon,381024024,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001417,0
145,Polygon,381024025,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001452,0
147,Polygon,381024027,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001458,0
150,Polygon,381024031,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005191,0.000002
151,Polygon,381025001,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.004808,0.000001
154,Polygon,381025012,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003768,0.000001
